Kernel,Param1,Param2,Options,Size,Time
clBlas,1,4,-cl-std=CL2.0,4096,2.00178
clBlas,1,4,-cl-std=CL2.0,4096,2.00882
clBlas,1,4,-cl-std=CL2.0,4096,1.94917
clBlas,1,8,-cl-std=CL1.2,1024,0.16381
clBlas,1,8,-cl-std=CL1.2,1024,0.17576
clBlas,1,8,-cl-std=CL1.2,1024,0.15704
clBlas,1,8,-cl-std=CL1.2,1024,0.15881
clBlas,1,8,-cl-std=CL1.2,1024,0.15889
clBlas,1,8,-cl-std=CL1.2,1024,0.16550
clBlas,1,8,-cl-std=CL1.2,1024,0.15323
clBlas,1,8,-cl-std=CL1.2,1024,0.16211
clBlas,1,8,-cl-std=CL1.2,1024,0.15571
clBlas,1,8,-cl-std=CL1.2,1024,0.17149
clBlas,1,8,-cl-std=CL1.2,1024,0.16155
clBlas,1,8,-cl-std=CL1.2,1024,0.14819
clBlas,1,8,-cl-std=CL1.2,1024,0.17865
clBlas,1,8,-cl-std=CL1.2,1024,0.16472
clBlas,1,8,-cl-std=CL1.2,1024,0.16111
clBlas,1,8,-cl-std=CL1.2,1024,0.17065
clBlas,1,8,-cl-std=CL1.2,1024,0.16354
clBlas,1,8,-cl-std=CL1.2,1024,0.16278
clBlas,1,8,-cl-std=CL1.2,1024,0.16384
clBlas,1,8,-cl-std=CL1.2,1024,0.14939
clBlas,1,8,-cl-std=CL1.2,1024,0.15912
clBlas,1,8,-cl-std=CL1.2,1024,0.17694
clBlas,1,8,-cl-std=CL1.2,1024,0.16499
clBlas,1,8,-cl-std=CL1.2,1024,0.17055
clBlas,1,8,-cl-std=CL1.2,1024,0.17197
clBlas,1,8,-cl-std=CL1.2,1024,0.16266
clBlas,1,8,-cl-std=CL1.2,1024,0.15940
clBlas,1,8,-cl-std=CL1.2,1024,0.16480
clBlas,1,8,-cl-std=CL1.2,1024,0.16791
clBlas,1,8,-cl-std=CL1.2,1024,0.14867
clBlas,1,8,-cl-std=CL1.2,1024,0.16445
clBlas,1,8,-cl-std=CL1.2,1024,0.17560
clBlas,1,8,-cl-std=CL1.2,1024,0.14676
clBlas,1,8,-cl-std=CL1.2,1024,0.16017
clBlas,1,8,-cl-std=CL1.2,1024,0.16787
clBlas,1,8,-cl-std=CL1.2,1024,0.15537
clBlas,1,8,-cl-std=CL1.2,1024,0.15822
clBlas,1,8,-cl-std=CL1.2,1024,0.16849
clBlas,1,8,-cl-std=CL1.2,1024,0.15642
clBlas,1,8,-cl-std=CL1.2,1024,0.16105
clBlas,1,8,-cl-std=CL1.2,1024,0.16384
clBlas,1,8,-cl-std=CL1.2,1024,0.16796
clBlas,1,8,-cl-std=CL1.2,1024,0.17019
clBlas,1,8,-cl-std=CL1.2,1024,0.16787
clBlas,1,8,-cl-std=CL1.2,1024,0.17018
clBlas,1,8,-cl-std=CL1.2,1024,0.16516
clBlas,1,8,-cl-std=CL1.2,1024,0.16709
clBlas,1,8,-cl-std=CL1.2,1024,0.16721
clBlas,1,8,-cl-std=CL1.2,1024,0.16439
clBlas,1,8,-cl-std=CL1.2,1024,0.16558
clBlas,1,8,-cl-std=CL1.2,2048,0.20956
clBlas,1,8,-cl-std=CL1.2,2048,0.21160
clBlas,1,8,-cl-std=CL1.2,2048,0.20119
clBlas,1,8,-cl-std=CL1.2,2048,0.21558
clBlas,1,8,-cl-std=CL1.2,2048,0.22274
clBlas,1,8,-cl-std=CL1.2,2048,0.20944
clBlas,1,8,-cl-std=CL1.2,2048,0.20415
clBlas,1,8,-cl-std=CL1.2,2048,0.21508
clBlas,1,8,-cl-std=CL1.2,2048,0.18881
clBlas,1,8,-cl-std=CL1.2,2048,0.20024
clBlas,1,8,-cl-std=CL1.2,2048,0.22329
clBlas,1,8,-cl-std=CL1.2,2048,0.21925
clBlas,1,8,-cl-std=CL1.2,2048,0.21588
clBlas,1,8,-cl-std=CL1.2,2048,0.20705
clBlas,1,8,-cl-std=CL1.2,2048,0.22044
